id,node_id,lon,lat,demand_kg,service_min,window_start,window_end,tw_group
0,477568534,121.465097,31.229575,0,0,,,depot
1,555628670,121.451357,31.231072,8.3,4,17:00,20:00,evening
2,9811831212,121.449034,31.247895,9.3,4,17:00,20:00,evening
3,1889249369,121.478659,31.233008,4.7,4,17:00,20:00,evening
4,857585645,121.440011,31.225545,3.4,4,17:00,20:00,evening
5,469887032,121.435935,31.239053,4.8,4,09:00,12:00,morning
6,103781600,121.481407,31.245343,4.0,4,13:00,16:00,afternoon
7,7180845362,121.447972,31.249302,9.5,4,13:00,16:00,afternoon
8,857585730,121.432007,31.228923,9.1,4,17:00,20:00,evening
9,1880146445,121.483011,31.245566,7.3,4,09:00,12:00,morning
10,71128708,121.468791,31.217645,7.0,4,13:00,16:00,afternoon
11,10258151858,121.465174,31.264017,3.2,4,13:00,16:00,afternoon
12,5082929922,121.462243,31.232785,9.8,4,17:00,20:00,evening
13,476794486,121.468612,31.227979,8.4,4,17:00,20:00,evening
14,475977737,121.492871,31.225321,11.7,4,17:00,20:00,evening
15,475978428,121.492927,31.224558,9.0,4,09:00,12:00,morning
16,481395518,121.480827,31.224512,8.5,4,13:00,16:00,afternoon
17,643889272,121.475336,31.263236,7.0,4,13:00,16:00,afternoon
18,602360659,121.497029,31.236190,5.0,4,09:00,12:00,morning
19,479925968,121.473566,31.247815,9.0,4,09:00,12:00,morning
20,874287498,121.474517,31.241063,9.6,4,13:00,16:00,afternoon
21,423833606,121.466573,31.208128,5.3,4,17:00,20:00,evening
22,479927933,121.480835,31.249002,3.9,4,09:00,12:00,morning
23,552679267,121.453683,31.220388,11.6,4,17:00,20:00,evening
24,618848703,121.499689,31.201006,5.3,4,17:00,20:00,evening
25,4470023345,121.463153,31.238580,5.5,4,13:00,16:00,afternoon
26,476559394,121.485526,31.217160,9.9,4,09:00,12:00,morning
27,640008009,121.454248,31.240735,10.2,4,09:00,12:00,morning
28,856909055,121.460025,31.204204,7.9,4,17:00,20:00,evening
29,93332110,121.485494,31.223803,6.4,4,09:00,12:00,morning
30,857781090,121.440110,31.237995,6.4,4,17:00,20:00,evening
31,475863643,121.496209,31.256590,5.6,4,09:00,12:00,morning
32,109425717,121.460290,31.217459,9.7,4,09:00,12:00,morning
33,9811796772,121.460473,31.193770,5.2,4,13:00,16:00,afternoon
34,9856105634,121.440803,31.259035,6.9,4,17:00,20:00,evening
35,5002541031,121.464511,31.226511,11.0,4,09:00,12:00,morning
36,481396599,121.478773,31.228163,5.6,4,13:00,16:00,afternoon
37,156261938,121.445331,31.238991,10.1,4,13:00,16:00,afternoon
38,1807318141,121.466113,31.215656,9.8,4,17:00,20:00,evening
39,603884631,121.481969,31.214862,6.8,4,09:00,12:00,morning
40,267198545,121.476471,31.232990,5.0,4,09:00,12:00,morning
41,639305926,121.481800,31.218900,6.8,4,13:00,16:00,afternoon
42,84466485,121.504401,31.241070,3.6,4,13:00,16:00,afternoon
43,9381975897,121.472096,31.233262,8.4,4,09:00,12:00,morning
44,477643018,121.470465,31.241366,10.5,4,09:00,12:00,morning
45,1581175468,121.491410,31.239458,11.0,4,13:00,16:00,afternoon
46,482728439,121.497332,31.223751,4.8,4,13:00,16:00,afternoon
47,640199622,121.437119,31.255505,7.5,4,13:00,16:00,afternoon
